Id,SalePrice
1461,84000
1462,150000
1463,181000
1464,181000
1465,180000
1466,185000
1467,173000
1468,174000
1469,180000
1470,97000
1471,180000
1472,85400
1473,88000
1474,146000
1475,91000
1476,412500
1477,287090
1478,107000
1479,216837
1480,386250
1481,306000
1482,202500
1483,169990
1484,160200
1485,180000
1486,183500
1487,340000
1488,230000
1489,157000
1490,196000
1491,180000
1492,115000
1493,110000
1494,290000
1495,179900
1496,196000
1497,151000
1498,151000
1499,147400
1500,147400
1501,168500
1502,151000
1503,394432
1504,237000
1505,201000
1506,223000
1507,240000
1508,181000
1509,171000
1510,98600
1511,148000
1512,167000
1513,112000
1514,125000
1515,127000
1516,111000
1517,115000
1518,124000
1519,213000
1520,141000
1521,98600
1522,160000
1523,100000
1524,109000
1525,113000
1526,131500
1527,100000
1528,117000
1529,127000
1530,159000
1531,130000
1532,124000
1533,127000
1534,85500
1535,109000
1536,89500
1537,120500
1538,140000
1539,325000
1540,80000
1541,105000
1542,115000
1543,94000
1544,98000
1545,66500
1546,131000
1547,130000
1548,141000
1549,110000
1550,130000
1551,108500
1552,107000
1553,96500
1554,118000
1555,104900
1556,60000
1557,80000
1558,66500
1559,40000
1560,68400
1561,141000
1562,130000
1563,100000
1564,137500
1565,152000
1566,260000
1567,73000
1568,127500
1569,139600
1570,82500
1571,109900
1572,107000
1573,240000
1574,60000
1575,140000
1576,87000
1577,206000
1578,102776
1579,145000
1580,191000
1581,84500
1582,112500
1583,305900
1584,219500
1585,140000
1586,86000
1587,84000
1588,139000
1589,82500
1590,107000
1591,114500
1592,128000
1593,140000
1594,135900
1595,95000
1596,157000
1597,117000
1598,146000
1599,213500
1600,189000
1601,39300
1602,112000
1603,84000
1604,275000
1605,197900
1606,128000
1607,124000
1608,250580
1609,186000
1610,167500
1611,98600
1612,179600
1613,143000
1614,143000
1615,97000
1616,88000
1617,83500
1618,127000
1619,80000
1620,272000
1621,125500
1622,112000
1623,147000
1624,157000
1625,142500
1626,127500
1627,181000
1628,187500
1629,168500
1630,345000
1631,180000
1632,236500
1633,180000
1634,192000
1635,174000
1636,176000
1637,185000
1638,190000
1639,180000
1640,260000
1641,180000
1642,226000
1643,253000
1644,231500
1645,205000
1646,165000
1647,152000
1648,139000
1649,154000
1650,120500
1651,120500
1652,100000
1653,83000
1654,147000
1655,127500
1656,148500
1657,146000
1658,146000
1659,91000
1660,142000
1661,412500
1662,339750
1663,297000
1664,466500
1665,297000
1666,440000
1667,171000
1668,318000
1669,264132
1670,297000
1671,147000
1672,326000
1673,354000
1674,230000
1675,194700
1676,196000
1677,202500
1678,326000
1679,271900
1680,172500
1681,202500
1682,360000
1683,171750
1684,184000
1685,174000
1686,160200
1687,180000
1688,188500
1689,180000
1690,180000
1691,188500
1692,222000
1693,180000
1694,183200
1695,180000
1696,187500
1697,180000
1698,333168
1699,301500
1700,219500
1701,240000
1702,297000
1703,297000
1704,297000
1705,152000
1706,278000
1707,182000
1708,201000
1709,340000
1710,182000
1711,239900
1712,222000
1713,196000
1714,196000
1715,183000
1716,178000
1717,89471
1718,147000
1719,200000
1720,232000
1721,155000
1722,159000
1723,159000
1724,194000
1725,222500
1726,175900
1727,90000
1728,213000
1729,118500
1730,112000
1731,94750
1732,129000
1733,97000
1734,150500
1735,120000
1736,125500
1737,207500
1738,194500
1739,146000
1740,212000
1741,165000
1742,168500
1743,183900
1744,227875
1745,278000
1746,89500
1747,205000
1748,200000
1749,135000
1750,143000
1751,139000
1752,62383
1753,126500
1754,185000
1755,143000
1756,109900
1757,100000
1758,129000
1759,168000
1760,121500
1761,167000
1762,135000
1763,165500
1764,114500
1765,167000
1766,127500
1767,134450
1768,135000
1769,140000
1770,150500
1771,124000
1772,135000
1773,118000
1774,141000
1775,139000
1776,127000
1777,85000
1778,109000
1779,98300
1780,135000
1781,129000
1782,52000
1783,66500
